"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"326",62.2,0.81,0.63,0.93,0.05,0.02,0.11
"327",62.39,0.81,0.62,0.93,0.05,0.02,0.11
"328",62.57,0.81,0.62,0.93,0.05,0.02,0.11
"329",62.76,0.81,0.62,0.93,0.05,0.02,0.11
"330",62.94,0.81,0.62,0.93,0.05,0.02,0.11
"331",63.13,0.8,0.62,0.93,0.05,0.02,0.11
"332",63.31,0.8,0.62,0.93,0.05,0.02,0.11
"333",63.5,0.8,0.62,0.93,0.05,0.02,0.11
"334",63.68,0.8,0.62,0.93,0.05,0.02,0.11
"335",63.87,0.8,0.62,0.93,0.05,0.02,0.11
"336",64.05,0.8,0.62,0.93,0.05,0.02,0.11
"337",64.24,0.8,0.62,0.93,0.05,0.02,0.11
"338",64.42,0.8,0.62,0.93,0.05,0.02,0.11
"339",64.61,0.8,0.62,0.93,0.05,0.02,0.11
"340",64.79,0.8,0.62,0.93,0.05,0.02,0.11
"341",64.98,0.8,0.62,0.93,0.05,0.02,0.11
"342",65.16,0.8,0.62,0.93,0.05,0.02,0.11
"343",65.35,0.8,0.62,0.93,0.05,0.02,0.11
"344",65.53,0.8,0.62,0.93,0.05,0.02,0.11
"345",65.72,0.8,0.62,0.93,0.05,0.02,0.11
"346",65.9,0.8,0.62,0.93,0.05,0.02,0.11
"347",66.09,0.8,0.62,0.93,0.05,0.02,0.11
"348",66.28,0.8,0.62,0.93,0.05,0.02,0.11
"349",66.46,0.8,0.62,0.93,0.05,0.02,0.11
"350",66.65,0.8,0.62,0.93,0.05,0.02,0.11
"351",66.83,0.8,0.62,0.93,0.05,0.02,0.11
"352",67.02,0.8,0.62,0.93,0.05,0.02,0.11
"353",67.2,0.8,0.62,0.93,0.05,0.02,0.11
"354",67.39,0.8,0.62,0.93,0.05,0.02,0.11
"355",67.57,0.8,0.62,0.93,0.05,0.02,0.11
"356",67.76,0.8,0.62,0.93,0.05,0.02,0.11
"357",67.94,0.8,0.62,0.93,0.05,0.02,0.11
"358",68.13,0.8,0.62,0.93,0.05,0.02,0.11
"359",68.31,0.8,0.62,0.93,0.05,0.02,0.11
"360",68.5,0.8,0.62,0.93,0.05,0.02,0.11
"361",68.68,0.8,0.62,0.93,0.05,0.02,0.11
"362",68.87,0.8,0.62,0.93,0.05,0.02,0.11
"363",69.05,0.8,0.62,0.93,0.05,0.02,0.1
"364",69.24,0.8,0.62,0.93,0.05,0.02,0.1
"365",69.42,0.8,0.62,0.93,0.05,0.02,0.1
"366",69.61,0.8,0.62,0.93,0.05,0.02,0.1
"367",69.79,0.8,0.62,0.93,0.05,0.02,0.1
"368",69.98,0.8,0.62,0.93,0.05,0.02,0.1
"369",70.17,0.8,0.62,0.93,0.05,0.02,0.1
"370",70.35,0.8,0.62,0.93,0.05,0.02,0.1
"371",70.54,0.8,0.62,0.93,0.05,0.02,0.1
"372",70.72,0.8,0.62,0.93,0.05,0.02,0.1
"373",70.91,0.8,0.62,0.93,0.05,0.02,0.1
"374",71.09,0.8,0.62,0.93,0.05,0.02,0.1
"375",71.28,0.8,0.62,0.93,0.05,0.02,0.1
"376",71.46,0.8,0.62,0.93,0.05,0.02,0.1
"377",71.65,0.8,0.62,0.93,0.05,0.02,0.1
"378",71.83,0.8,0.62,0.93,0.05,0.02,0.1
